Sample,Shannon_H,ESV_Richness
CY92PPTX.1,4.5493,201
CVVU52A9.1,4.1987,151
CSWEE3DX.1,3.2768,91
CNTLVPX4.1,2.2994,76
CNR7WZYJ.1,3.1596,77
CDWD42KP.1,4.425,178
CA66THTZ.1,3.8611,117
C4SUMTFY.1,3.5747,140
4JKGTSJ5.1,2.983,75
